date,time,en_base_asset,amount_precision,base_asset,categories,change_24h,change_7D,created_at,en_base_asset,en_quote_asset,fa_base_asset,fa_quote_asset,flags,is_margin,is_market_type_enable,is_new,is_otc,is_spot,is_tmn_based,is_usdt_based,is_zero_fee,leverage_step,max_leverage,otc_is_new,price,price_precision,quote_asset,quote_volume_24h,spot_is_new,symbol,volume_24h
2025-08-24,17:10:53,PancakeSwap,2,CAKE,"[13, 7]",-1.47,-3.21,2021-12-15T00:00:00Z,PancakeSwap,Toman,پنکیک سواپ,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,257598,0,TMN,4045824442.9603724,False,CAKETMN,15702.69246072
2025-08-24,17:10:53,CATS,1,CATS,[25],-3.07,-5.02,2024-10-08T00:00:00Z,CATS,Toman,کتز,تومان,[],False,True,False,True,True,True,False,False,,,False,0.20899,5,TMN,4010418883.836686,False,CATSTMN,18969003586.499126
2025-08-24,17:10:53,Pump fun,1,PUMP,"[13, 100001]",-5.37,-5.37,2025-08-20T00:00:00Z,Pump fun,Toman,پامپ فان,تومان,[],False,True,True,True,True,True,False,False,,,True,282,0,TMN,3873598848.4,True,PUMPTMN,13114179.5230366
2025-08-24,17:10:53,Aave,5,AAVE,[13],-2.97,2.72,2022-05-15T00:00:00Z,Aave,Toman,آوه,تومان,[],False,True,False,True,True,True,False,False,,,False,33030642,0,TMN,3797295995.35282,False,AAVETMN,113.07558402
2025-08-24,17:10:53,Ton,2,TON,"[16, 44, 53]",-0.29,-2.35,2024-04-23T00:00:00Z,Ton,Toman,تون کوین,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,314857,0,TMN,3705666794.654976,False,TONTMN,11707.8780394
2025-08-24,17:10:53,dogwifhat,2,WIF,[4],-0.63,-3.91,2025-02-18T00:00:00Z,dogwifhat,Toman,داگ ویف هت,تومان,[],False,True,False,True,True,True,False,False,,,False,83000,1,TMN,3292164659.62,False,WIFTMN,39462.7723054
2025-08-24,17:10:53,Uniswap,2,UNI,"[13, 7]",-0.87,-1.93,2021-12-17T00:00:00Z,Uniswap,Toman,یونی سوآپ,تومان,[],False,True,False,True,True,True,False,False,,,False,1046450,0,TMN,3099640288.58,False,UNITMN,2939.9
2025-08-24,17:10:53,Polkadot,2,DOT,"[22, 44]",0.04,-0.83,2021-01-01T00:00:00Z,Polkadot,Toman,پولکادات,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,386776,0,TMN,2554277752.62663,False,DOTTMN,6543.10695534
2025-08-24,17:10:53,Worldcoin,2,WLD,[22],-3.87,-4.45,2024-04-23T00:00:00Z,Worldcoin,Toman,ورلد کوین,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,91462,0,TMN,2550777231.46,False,WLDTMN,27559.29712634
2025-08-24,17:15:54,Ethereum,5,ETH,"[13, 16, 44, 53]",1.78,0.37,2020-05-01T00:00:00Z,Ethereum,Toman,اتریوم,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,452049107,0,TMN,112858657538.2559,False,ETHTMN,251.50998154
2025-08-24,17:15:54,Tether,2,USDT,[1],0.91,1.38,2020-01-01T00:00:00Z,Tether,Toman,تتر,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,94993,0,TMN,69003760986.48253,False,USDTTMN,731570.31105267
2025-08-24,17:15:54,Bitcoin,6,BTC,[44],0.39,-0.4,2020-04-01T00:00:00Z,Bitcoin,Toman,بیت کوین,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,10872255754,0,TMN,40971907072.163506,False,BTCTMN,3.78310158
2025-08-24,17:15:54,Memecoin,4,MEME,[4],19.23,2.03,2024-08-13T00:00:00Z,Memecoin,Toman,میم کوین,تومان,[],False,True,False,True,True,True,False,False,,,False,403,0,TMN,34069019945.6016,False,MEMETMN,92997928.15257946
2025-08-24,17:15:54,Ripple,1,XRP,"[13, 44, 53]",0.87,-0.03,2020-11-01T00:00:00Z,Ripple,Toman,ریپل,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,286992,0,TMN,32813067101.560703,False,XRPTMN,115060.70395476
